"StoreID","Longitude","Latitude","Group","Labels"
"Store_2",8.772572,50.801125,"other_essentials","Aqua Mar"
"Store_3",8.756557,50.803792,"other_essentials","Aral"
"Store_4",8.789181,50.799826,"other_essentials","Aral"
"Store_5",8.77492,50.817687,"other_essentials","Aral"
"Store_6",8.762294,50.799249,"other_essentials","Aral"
"Store_7",8.769494,50.840738,"other_essentials","Avia Tankstelle"
"Store_9",8.773558,50.808751,"other_essentials","Capitol Filmtheater"
"Store_10",8.77124,50.81471,"other_essentials","Carolinenhaus (venue pre-conference workshops)"
"Store_11",8.77337,50.80897,"other_essentials","Cineplex Marburg"
"Store_12",8.77191,50.80991,"other_essentials","Copy & Shirt"
"Store_13",8.772445,50.808246,"other_essentials","Copy Courier"
"Store_14",8.771683,50.810264,"other_essentials","Copyprint"
"Store_15",8.77081,50.80791,"other_essentials","Damfastore"
"Store_16",8.777324,50.806854,"other_essentials","Dm-drogeriemarkt"
"Store_17",8.767143,50.786993,"other_essentials","Dm-drogeriemarkt"
"Store_18",8.76887,50.82466,"other_essentials","Dm-drogeriemarkt"
"Store_19",8.77253,50.82097,"other_essentials","Elektro Zigge"
"Store_20",8.77145,50.811,"other_essentials","elevator"
"Store_21",8.77139,50.81092,"other_essentials","elevator"
"Store_22",8.77079,50.81084,"other_essentials","elevator"
"Store_23",8.77881,50.8062,"other_essentials","Esso"
"Store_24",8.75133,50.81624,"other_essentials","Esso"
"Store_25",8.76874,50.82816,"other_essentials","Fischer Tankstelle"
"Store_26",8.772284,50.809487,"other_essentials","Fresh & take"
"Store_27",8.752611,50.834598,"other_essentials","Hallenbad Wehrda"
"Store_28",8.757614,50.794965,"other_essentials","Jet"
"Store_29",8.772462,50.830807,"other_essentials","Jet"
"Store_30",8.774552,50.810387,"other_essentials","KFZ"
"Store_31",8.77761,50.81954,"other_essentials","Kiosk am Ortenberg"
"Store_32",8.764856,50.806209,"other_essentials","Kopier Service"
"Store_33",8.773558,50.808751,"other_essentials","Kopierladen Marburg"
"Store_34",8.76424,50.79233,"other_essentials","Lavari"
"Store_35",8.769812,50.812252,"other_essentials","Marburger Filmkunsttheater GmbH"
"Store_36",8.775585,50.818005,"other_essentials","Nachtsalon"
"Store_37",8.769131,50.806119,"other_essentials","New life shop"
"Store_38",8.77205,50.80935,"other_essentials","Oberstadtaufzug"
"Store_39",8.774134,50.819633,"other_essentials","P & B Presse & Buch"
"Store_40",8.769159,50.815351,"other_essentials","Rossmann"
"Store_41",8.768698,50.806978,"other_essentials","Rossmann"
"Store_42",8.76957,50.805109,"other_essentials","SB-Waschcenter"
"Store_43",8.771705,50.817497,"other_essentials","Schreibwaren Baehr"
"Store_44",8.766768,50.802154,"other_essentials","Schreibwaren Lotto-Toto"
"Store_45",8.756721,50.794803,"other_essentials","Shell"
"Store_46",8.76951,50.81276,"other_essentials","Szenario"
"Store_47",8.768675,50.806432,"other_essentials","Tabakwaren Knau"
"Store_48",8.76943,50.813972,"other_essentials","Tabakwaren Lesch"
"Store_49",8.77076,50.809789,"other_essentials","Tee Gschwendner"
"Store_50",8.770267,50.812007,"other_essentials","Teehaus Marburg"
"Store_51",8.76495,50.7894,"other_essentials","Till Dawn"
"Store_52",8.774134,50.819633,"other_essentials","Tobacco & more"
"Store_53",8.77167,50.817773,"other_essentials","Toto-Lotto Annahme"
"Store_54",8.774552,50.810387,"other_essentials","Tourist Information"
"Store_55",8.77862,50.81698,"other_essentials","Waggonhalle"
"Store_57",8.76303,50.79458,"pharmacy","Apotheke am Suedbahnhof"
"Store_58",8.75054,50.801278,"pharmacy","Apotheke an der Hohen Leuchte"
"Store_59",8.77281,50.80915,"pharmacy","Apotheke im Lahncenter"
"Store_60",8.77,50.77981,"pharmacy","Apotheke Zum Frauenberg oHG"
"Store_61",8.77424,50.81864,"pharmacy","Bahnhof-Apotheke"
"Store_62",8.785488,50.792918,"pharmacy","Behring-Apotheke"
"Store_63",8.751998,50.816304,"pharmacy","Brunnen-Apotheke"
"Store_64",8.775634,50.813256,"pharmacy","Deutschhaus-Apotheke"
"Store_65",8.76927,50.81407,"pharmacy","Einhorn-Apotheke"
"Store_66",8.777324,50.806854,"pharmacy","Erlenring-Apotheke"
"Store_67",8.770966,50.817096,"pharmacy","Hirsch-Apotheke"
"Store_68",8.76751,50.80589,"pharmacy","Lahn-Apotheke"
"Store_69",8.769494,50.840738,"pharmacy","Neue Apotheke"
"Store_71",8.771386,50.809115,"pharmacy","Philipps-Apotheke"
"Store_72",8.758669,50.804417,"pharmacy","Rosen-Apotheke"
"Store_73",8.769113,50.807392,"pharmacy","Schlossberg-Apotheke"
"Store_74",8.76,50.80057,"pharmacy","Sonnen-Apotheke"
"Store_75",8.75495,50.83584,"pharmacy","St. Elisabeth-Apotheke"
"Store_76",8.690359,50.81289,"pharmacy","Weidenborn-Apotheke"
"Store_77",8.76296,50.79486,"taxi","Ayse's Taxi"
"Store_78",8.772052,50.825994,"taxi","Cengiz"
"Store_79",8.77122,50.8282,"taxi","CityTaxi"
"Store_80",8.77123,50.82197,"taxi","Minicar 24 Marburg"
"Store_81",8.778238,50.804504,"taxi","My Car Taxi"
"Store_82",8.77235,50.83747,"taxi","Sparcar GbR"
"Store_83",8.780013,50.773228,"taxi","Taxi Kazim"
"Store_84",8.77,50.82521,"taxi","Taxi Mitte"
"Store_85",8.772052,50.825994,"taxi","Taxi Sorany"
"Store_86",8.77123,50.82197,"taxi","Taxi UniCar UG"
"Store_87",8.78,50.78916,"taxi","Taxi-Express Saleh"
"Store_88",8.76104,50.83353,"taxi","Taxi-Ruf Brunett"
"Store_89",8.775585,50.818005,"taxi","TeleCar-Stadtmobil 24 Marburg LTD"
"Store_90",8.77,50.78307,"taxi","VIPcar"
"Store_91",8.77,50.82,"taxi","Yellow Car"
"Store_92",8.755832,50.839215,"accomodation","Begegnungszentrum Sonneck"
"Store_93",8.772945,50.804287,"accomodation","Campingplatz Lahnaue"
"Store_94",8.76661,50.77533,"accomodation","Carle"
"Store_95",8.77487,50.81886,"accomodation","Hostel Marburg-One"
"Store_96",8.76379,50.79188,"accomodation","Hotel im Kornspeicher"
"Store_97",8.768644,50.815571,"accomodation","Hotel Marburger Hof"
"Store_98",8.773646,50.803895,"accomodation","Jugendherberge"
"Store_99",8.76082,50.83473,"accomodation","Lahngarten"
"Store_100",8.77222,50.80865,"accomodation","Pension Harmony"
"Store_102",8.74071,50.80047,"accomodation","Schneider"
"Store_103",8.76915,50.80472,"accomodation","Tusculum"
"Store_104",8.76826,50.81873,"accomodation","Vila Vita Rosenpark"
"Store_105",8.770322,50.81704,"accomodation","Village Stadthotel"
"Store_106",8.772573,50.80943,"accomodation","Welcome Hotel Marburg"
"Store_107",8.68925,50.80914,"accomodation","Zum Alten Schneider"
"Store_108",8.77183,50.81001,"supermarket","Asia Center"
"Store_109",8.769,50.81547,"supermarket","Asia Shop"
